,County,Precinct,Registered Voters
442,Clayton,Morrow 5,3056
443,Clayton,Morrow 6,3030
444,Clayton,Morrow 7,2142
445,Clayton,Morrow 8,3185
446,Clayton,Morrow 9,1509
447,Clayton,Morrow 10,2342
448,Clayton,Morrow 11,2295
449,Clayton,Oak 1,2635
450,Clayton,Oak 2,1974
451,Clayton,Oak 3,2731
452,Clayton,Oak 4,4233
453,Clayton,Oak 5,1795
454,Clayton,Panhandle 1,2895
455,Clayton,Panhandle 2,3382
456,Clayton,Riverdale 1,2330
457,Clayton,Riverdale 2,3431
458,Clayton,Riverdale 3,3650
459,Clayton,Riverdale 4,4362
460,Clayton,Riverdale 5,2970
461,Clayton,Riverdale 6,3661
462,Clayton,Riverdale 7,3020
463,Clayton,Riverdale 8,2895
464,Clayton,Riverdale 9,2653
465,Clayton,Riverdale 10,3176
466,Clayton,Riverdale 11,1881
467,Clayton,Riverdale 12,3065
468,Clinch,Arabia,108
469,Clinch,Argyle,367
470,Clinch,Dupont,338
471,Clinch,Fargo,270
472,Clinch,Homerville,3262
473,Cobb,Acworth 1A,5458
474,Cobb,Acworth 1B,5214
475,Cobb,Acworth 1C,5110
476,Cobb,Addison 01,2444
477,Cobb,Austell 1A,5329
478,Cobb,Bells Ferry 02,3127
479,Cobb,Bells Ferry 03,2436
480,Cobb,Bells Ferry 04,3646
481,Cobb,Big Shanty 01,2385
482,Cobb,Big Shanty 02,3236
483,Cobb,Baker 01,4773
484,Cobb,Birney 01,2727
485,Cobb,Birney 02,3894
486,Cobb,Bryant 01,2142
487,Cobb,Bryant 02,6209
488,Cobb,Blackwell 01,2698
489,Cobb,Chattahoochee 01,5969
490,Cobb,Cheatham Hill 02,3085
491,Cobb,Cheatham Hill 03,4029
492,Cobb,Chalker 01,6065
493,Cobb,Clarkdale 01,1937
494,Cobb,Clarkdale 02,5372
495,Cobb,Cooper 01,5252
496,Cobb,Chestnut Ridge 01,3162
497,Cobb,Dickerson 01,2828
498,Cobb,Dobbins 01,3024
499,Cobb,Dobbins 02,3984
500,Cobb,Dowell 01,3197
501,Cobb,Dodgen 01,2100
502,Cobb,Durham 01,4256
503,Cobb,Davis 01,2093
504,Cobb,Eastside 01,3040
505,Cobb,Eastside 02,4074
506,Cobb,Elizabeth 01,4065
507,Cobb,Elizabeth 02,2434
508,Cobb,Elizabeth 03,2767
509,Cobb,Elizabeth 04,3011
510,Cobb,Elizabeth 05,2884
511,Cobb,East Piedmont 01,2627
512,Cobb,Fair Oaks 02,5779
513,Cobb,Fair Oaks 04,5322
514,Cobb,Fullers Park 01,3452
515,Cobb,Ford 01,3161
516,Cobb,Frey 01,2582
517,Cobb,Garrison Mill 01,2872
518,Cobb,Gritters 01,4033
519,Cobb,Harmony-Leland 01,6394
520,Cobb,Harrison 01,3122
521,Cobb,Hightower 01,4262
522,Cobb,Hayes 01,4111
523,Cobb,Kennesaw 1A,2499
524,Cobb,Kennesaw 2A,3944
525,Cobb,Kennesaw 3A,6477
526,Cobb,Kennesaw 4A,3783
527,Cobb,Kennesaw 5A,5855
528,Cobb,Kell 01,2006
529,Cobb,Kemp 01,1960
530,Cobb,Kemp 02,4049
531,Cobb,Kemp 03,3955
532,Cobb,Lassiter 01,3647
533,Cobb,Lindley 01,4797
534,Cobb,Lost Mountain 01,3604
535,Cobb,Lost Mountain 02,4121
536,Cobb,Lost Mountain 03,5387
537,Cobb,Lost Mountain 04,2629
538,Cobb,Mableton 01,5127
539,Cobb,Mableton 02,3330
540,Cobb,Mableton 03,3010
541,Cobb,Mableton 04,1581
542,Cobb,Mabry 01,1656
543,Cobb,Macland 01,4213
544,Cobb,Murdock 01,4059
545,Cobb,McEachern 01,3549
546,Cobb,McCleskey 01,1736
547,Cobb,McClure 01,3290
548,Cobb,Marietta 1A,4468
549,Cobb,Marietta 2A,2059
550,Cobb,Marietta 2B,4447
551,Cobb,Marietta 3A,4388
552,Cobb,Marietta 3B,2218
553,Cobb,Marietta 4A,1956
554,Cobb,Marietta 4B,2056
555,Cobb,Marietta 4C,2781
556,Cobb,Marietta 5A,3324
557,Cobb,Marietta 5B,3084
558,Cobb,Marietta 6A,2647
559,Cobb,Marietta 6B,2910
560,Cobb,Marietta 7A,3745
561,Cobb,Mars Hill 01,3633
562,Cobb,Mars Hill 02,2916
563,Cobb,Mt Bethel 01,4125
564,Cobb,Mt Bethel 03,3294
565,Cobb,Mt Bethel 04,2981
566,Cobb,North Cobb 01,2317
567,Cobb,Nickajack 01,4889
568,Cobb,Norton Park 01,4922
569,Cobb,Nicholson 01,2455
570,Cobb,Oakdale 01,3944
571,Cobb,Oregon 01,1614
572,Cobb,Oregon 02,5671
573,Cobb,Oregon 03,5713
574,Cobb,Oregon 04,4673
575,Cobb,Oregon 05,3846
576,Cobb,Pebblebrook 01,5218
577,Cobb,Powers Ferry 01,3504
578,Cobb,Pine Mountain 01,3491
579,Cobb,Pine Mountain 02,3127
580,Cobb,Post Oak 01,3660
581,Cobb,Pope 01,3153
582,Cobb,Palmer 01,2760
583,Cobb,Powders Springs 1A,4755
584,Cobb,Powders Springs 2A,3536
585,Cobb,Powders Springs 3A,3991
586,Cobb,Pitner 01,2814
587,Cobb,Rocky Mount 01,3390
588,Cobb,Riverside 01,2133
589,Cobb,Roswell 01,5374
590,Cobb,Roswell 02,3701
591,Cobb,Sandy Plains 01,2933
592,Cobb,Shallowford Falls 01,3387
593,Cobb,Simpson 01,1868
594,Cobb,Sewell Mill 01,3493
595,Cobb,Sewell Mill 03,4759
596,Cobb,Smyrna 1A,4152
597,Cobb,Smyrna 2A,5539
598,Cobb,Smyrna 3A,4573
599,Cobb,Smyrna 3B,2496
600,Cobb,Smyrna 4A,5842
601,Cobb,Smyrna 5A,4319
602,Cobb,Smyrna 6A,5936
603,Cobb,Smyrna 7A,6378
604,Cobb,Sope Creek 01,2163
605,Cobb,Sope Creek 02,4729
606,Cobb,Sope Creek 03,2886
607,Cobb,Sweetwater 01,3235
608,Cobb,Sweetwater 02,3367
609,Cobb,Terrell Mill 01,5816
610,Cobb,Timber Ridge 01,2448
611,Cobb,Vaughan 01,3146
612,Cobb,Vinings 01,3260
613,Cobb,Vinings 02,6400
614,Cobb,Vinings 03,4407
615,Cobb,Vinings 04,3405
616,Cobb,Wade Green 02,4718
617,Cobb,Willeo 01,2836
618,Coffee,Douglas,17243
619,Coffee,Ambrose,2053
620,Coffee,Bridgetown,344
621,Coffee,Broxton,2398
622,Coffee,Nicholls,2115
623,Coffee,West Green,961
624,Colquitt,Shaw,3487
625,Colquitt,Moultrie,4809
626,Colquitt,Autreyville,1512
627,Colquitt,Bridgecreek,1191
628,Colquitt,Crosland,289
629,Colquitt,Doerun,619
630,Colquitt,Funston,1030
631,Colquitt,Hamilton,784
632,Colquitt,Hartsfield,408
633,Colquitt,Hopewell,1670
634,Colquitt,Lee,1094
635,Colquitt,Millcreek,422
636,Colquitt,Monk,1555
637,Colquitt,Murphy,973
638,Colquitt,Norman Park,2586
639,Colquitt,Robinson,860
640,Colquitt,Thigpen,251
641,Colquitt,Tyty,543
642,Colquitt,Warrior,971
643,Columbia,Kiokee Baptist Church,2541
644,Columbia,Lewis Methodist Church,3737
645,Columbia,Woodlawn Baptist Church,1290
646,Columbia,Patriots Park,4046
647,Columbia,New Life Church,4438
648,Columbia,Harlem Branch Library,2642
649,Columbia,Harlem Senior Center,1819
650,Columbia,Second Mt Moriah Baptist Church,1027
651,Columbia,Bessie Thomas Center,799
652,Columbia,Philadelphia Church,2355
653,Columbia,Liberty Park-Grovetown,3410
654,Columbia,Grovetown Methodist Church,2736
655,Columbia,G A Apostolic Church,1701
656,Columbia,Grovetown Public Safety Station 2,3696
657,Columbia,Grove First Baptist Church,2954
658,Columbia,Eubank-Blanchard Center,1576
659,Columbia,Second Mt Carmel Baptist Church,731
660,Columbia,Damascus Baptist Church,1023
661,Columbia,Col Cty Bd of Edu,2143
662,Columbia,Greenbrier High,3369
663,Columbia,Parkway Baptist Church,4596
664,Columbia,Riverview Church,1320
